"Qty";"Value";"Device";"Package";"Parts";"Description";"PARTNO";"PARTNP";"TP_SIGNAL_NAME";
"3";"";"PHOTODIODE_0805T";"0805T";"D1, D2, D3";"";"";"";"";
"1";"";"PINHD-2X35+4_DF40-70HEAD";"DF40-70HEAD";"U$1";"";"";"";"";
"5";"";"TPB0.4MM";"B0.4MM";"TP3, TP4, TP5, TP6, TP12";"Test pad";"";"";"";
"3";"";"TPTP06R";"TP06R";"TP7, TP9, TP11";"Test pad";"";"";"";
"8";"0.1uF";"C_0201T";"0201T";"C36, C48, C56, C58, C60, C61, C64, C67";"Capacitor";"";"";"";
"1";"0.1uF";"C_0201T";"0201T";"C10";"Capacitor";"";"CL03A104KA3NNNC";"";
"6";"0.1uF";"C_0201T";"0201T";"C2, C4, C6, C12, C13, C70";"Capacitor";"C0603X5R1C104K030BC";"";"";
"1";"0.1uF";"C_0201T";"0201T";"C51";"Capacitor";"C1005X7R1H104K050BB";"";"";
"5";"0.1uF";"C_0201T";"0201T";"C7, C8, C11, C20, C21";"Capacitor";"CL03A104KA3NNNC";"";"";
"1";"0.1uF";"C_0402T";"0402T";"C26";"Capacitor";"C0603X5R1C104K030BC";"";"";
"2";"0.22uF";"C_0402T";"0402T";"C17, C18";"Capacitor";"UMK105BJ224KV-F";"";"";
"3";"0.47uF";"C_0201T";"0201T";"C40, C45, C72";"Capacitor";"GRM033R60J474KE90D";"";"";
"4";"100";"R_0201T";"0201T";"R26, R27, R28, R29";"Resistor";"";"";"";
"1";"100k";"R_0201T";"0201T";"R20";"Resistor";"";"";"";
"1";"10M08DC";"10M08DC_VBGA";"VBGA81-4X4";"U11";"";"";"";"";
"13";"10k";"R_0201T";"0201T";"R4, R5, R17, R18, R19, R23, R30, R31, R32, R34, R35, R36, R38";"Resistor";"";"";"";
"9";"10nF";"C_0201T";"0201T";"C27, C38, C43, C47, C49, C50, C57, C62, C65";"Capacitor";"";"";"";
"1";"10nF";"C_0201T";"0201T";"C30";"Capacitor";"CL03A105MP3ZSNH";"";"";
"1";"10nF";"C_0201T";"0201T";"C66";"Capacitor";"CL03B103KP3NNNC";"";"";
"1";"10pF";"C_0201T";"0201T";"C19";"Capacitor";"";"";"";
"3";"10uF";"C_0402T";"0402T";"C22, C24, C42";"Capacitor";"CL05A106MQ5NUNC";"";"";
"4";"15k";"R_0201T";"0201T";"R1, R2, R3, R37";"Resistor";"";"";"";
"2";"1M";"R_0201T";"0201T";"R9, R11";"Resistor";"";"";"";
"3";"1k";"R_0201T";"0201T";"R14, R15, R33";"Resistor";"";"";"";
"7";"1uF";"C_0201T";"0201T";"C1, C3, C5, C46, C55, C68, C74";"Capacitor";"CL03A105MP3ZSNH";"";"";
"7";"1uF";"C_0402T";"0402T";"C14, C15, C16, C23, C54, C69, C75";"Capacitor";"CL05A105KO5NNNC";"";"";
"1";"2.2nF";"C_0201T";"0201T";"C35";"Capacitor";"";"";"";
"1";"220";"R_0201T";"0201T";"R7";"Resistor";"";"";"";
"4";"22nF";"C_0201T";"0201T";"C33, C39, C44, C71";"Capacitor";"";"";"";
"1";"22uF";"C_0402T";"0402T";"C53";"Capacitor";"CL05A226MQ5QUNC";"";"";
"1";"22uF";"C_0402T";"0402T";"C41";"Capacitor";"CL05A226MQ6ZUN8";"";"";
